geography_id,country,city,state,postal_code,region
CG-12520_42420,United States,Henderson,Kentucky,42420,South
DV-13045_90036,United States,Los Angeles,California,90036,West
SO-20335_33311,United States,Fort Lauderdale,Florida,33311,South
BH-11710_90032,United States,Los Angeles,California,90032,West
AA-10480_28027,United States,Concord,North Carolina,28027,South
IM-15070_98103,United States,Seattle,Washington,98103,West
HP-14815_76106,United States,Fort Worth,Texas,76106,Central
PK-19075_53711,United States,Madison,Wisconsin,53711,Central
AG-10270_84084,United States,West Jordan,Utah,84084,West
ZD-21925_94109,United States,San Francisco,California,94109,West
KB-16585_68025,United States,Fremont,Nebraska,68025,Central
SF-20065_19140,United States,Philadelphia,Pennsylvania,19140,East
EB-13870_84057,United States,Orem,Utah,84057,West
EH-13945_90049,United States,Los Angeles,California,90049,West
TB-21520_19140,United States,Philadelphia,Pennsylvania,19140,East
MA-17560_77095,United States,Houston,Texas,77095,Central
GH-14485_75080,United States,Richardson,Texas,75080,Central
SN-20710_77041,United States,Houston,Texas,77041,Central
LC-16930_60540,United States,Naperville,Illinois,60540,Central
RA-19885_90049,United States,Los Angeles,California,90049,West
ES-14080_32935,United States,Melbourne,Florida,32935,South
ON-18715_55122,United States,Eagan,Minnesota,55122,Central
PO-18865_48185,United States,Westland,Michigan,48185,Central
LH-16900_19901,United States,Dover,Delaware,19901,East
DP-13000_47150,United States,New Albany,Indiana,47150,Central
JM-15265_10024,United States,New York City,New York,10024,East
TB-21055_12180,United States,Troy,New York,12180,East
KM-16720_90004,United States,Los Angeles,California,90004,West
PS-18970_60610,United States,Chicago,Illinois,60610,Central
BS-11590_85234,United States,Gilbert,Arizona,85234,West
KD-16270_22153,United States,Springfield,Virginia,22153,South
HM-14980_10009,United States,New York City,New York,10009,East
TB-21520_49201,United States,Jackson,Michigan,49201,Central
JE-15745_38109,United States,Memphis,Tennessee,38109,South
KB-16600_77041,United States,Houston,Texas,77041,Central
JE-15745_77070,United States,Houston,Texas,77070,Central
SC-20770_35601,United States,Decatur,Alabama,35601,South
DN-13690_94122,United States,San Francisco,California,94122,West
JC-16105_27707,United States,Durham,North Carolina,27707,South
CS-12400_60623,United States,Chicago,Illinois,60623,Central
PO-18865_29203,United States,Columbia,South Carolina,29203,South
PG-18895_55901,United States,Rochester,Minnesota,55901,Central
GM-14455_77095,United States,Houston,Texas,77095,Central
JS-15685_90036,United States,Los Angeles,California,90036,West
KB-16315_55407,United States,Minneapolis,Minnesota,55407,Central
RB-19705_97206,United States,Portland,Oregon,97206,West
PN-18775_10009,United States,New York City,New York,10009,East
KD-16345_94122,United States,San Francisco,California,94122,West
ER-13855_55106,United States,Saint Paul,Minnesota,55106,Central
RB-19465_60610,United States,Chicago,Illinois,60610,Central
GZ-14470_55901,United States,Rochester,Minnesota,55901,Central
LC-16870_80013,United States,Aurora,Colorado,80013,West
JM-15250_28205,United States,Charlotte,North Carolina,28205,South
PA-19060_60462,United States,Orland Park,Illinois,60462,Central
CV-12805_10035,United States,New York City,New York,10035,East
CL-12565_50322,United States,Urbandale,Iowa,50322,Central
RC-19960_43229,United States,Columbus,Ohio,43229,East
DK-13090_98103,United States,Seattle,Washington,98103,West
GG-14650_37620,United States,Bristol,Tennessee,37620,South
SC-20725_19805,United States,Wilmington,Delaware,19805,East
AD-10180_77041,United States,Houston,Texas,77041,Central
PF-19165_61701,United States,Bloomington,Illinois,61701,Central
TS-21610_85023,United States,Phoenix,Arizona,85023,West
LS-16975_90004,United States,Los Angeles,California,90004,West
DW-13585_43229,United States,Columbus,Ohio,43229,East
LC-16885_95661,United States,Roseville,California,95661,West
JD-15895_19140,United States,Philadelphia,Pennsylvania,19140,East
SH-19975_94122,United States,San Francisco,California,94122,West
SG-20080_64055,United States,Independence,Missouri,64055,Central
HA-14920_91104,United States,Pasadena,California,91104,West
MG-17680_43055,United States,Newark,Ohio,43055,East
JE-16165_53132,United States,Franklin,Wisconsin,53132,Central
TW-21025_85254,United States,Scottsdale,Arizona,85254,West
SP-20650_95123,United States,San Jose,California,95123,West
NK-18490_98105,United States,Seattle,Washington,98105,West
DB-13060_98115,United States,Seattle,Washington,98115,West
NP-18670_73034,United States,Edmond,Oklahoma,73034,Central
TT-21070_90045,United States,Los Angeles,California,90045,West
EM-13960_19134,United States,Philadelphia,Pennsylvania,19134,East
RD-19900_88220,United States,Carlsbad,New Mexico,88220,West
MJ-17740_98115,United States,Seattle,Washington,98115,West
BM-11140_78207,United States,San Antonio,Texas,78207,Central
CS-12130_90004,United States,Los Angeles,California,90004,West
JB-15400_60623,United States,Chicago,Illinois,60623,Central
SJ-20500_77036,United States,Houston,Texas,77036,Central
JE-15745_43055,United States,Newark,Ohio,43055,East
JK-15640_10009,United States,New York City,New York,10009,East
DK-13150_62521,United States,Decatur,Illinois,62521,Central
RM-19675_71203,United States,Monroe,Louisiana,71203,South
SK-19990_6824,United States,Fairfield,Connecticut,6824,East
FM-14290_90032,United States,Los Angeles,California,90032,West
AM-10360_75051,United States,Grand Prairie,Texas,75051,Central
MP-17470_10035,United States,New York City,New York,10035,East
MZ-17515_92374,United States,Redlands,California,92374,West
CB-12025_45011,United States,Hamilton,Ohio,45011,East
VM-21685_7090,United States,Westfield,New Jersey,7090,East
FH-14365_19120,United States,Philadelphia,Pennsylvania,19120,East
MB-17305_44312,United States,Akron,Ohio,44312,East
BS-11755_80219,United States,Denver,Colorado,80219,West
LC-17140_75220,United States,Dallas,Texas,75220,Central
HK-14890_37064,United States,Franklin,Tennessee,37064,South
LE-16810_90604,United States,Whittier,California,90604,West
JH-15985_48601,United States,Saginaw,Michigan,48601,Central
MS-17980_75220,United States,Dallas,Texas,75220,Central
VW-21775_44256,United States,Medina,Ohio,44256,East
JH-15910_90032,United States,Los Angeles,California,90032,West
JB-15925_43017,United States,Dublin,Ohio,43017,East
DS-13180_48227,United States,Detroit,Michigan,48227,Central
VD-21670_38401,United States,Columbia,Tennessee,38401,South
EA-14035_28205,United States,Charlotte,North Carolina,28205,South
CS-12400_33614,United States,Tampa,Florida,33614,South
DB-13120_95051,United States,Santa Clara,California,95051,West
KL-16645_60610,United States,Chicago,Illinois,60610,Central
DW-13480_55044,United States,Lakeville,Minnesota,55044,Central
LH-17155_94109,United States,San Francisco,California,94109,West
KC-16540_92037,United States,San Diego,California,92037,West
DL-13315_10024,United States,New York City,New York,10024,East
DR-12880_60623,United States,Chicago,Illinois,60623,Central
CC-12670_10009,United States,New York City,New York,10009,East
Dl-13600_77506,United States,Pasadena,Texas,77506,Central
SB-20290_77036,United States,Houston,Texas,77036,Central
RC-19825_60610,United States,Chicago,Illinois,60610,Central
AH-10210_94513,United States,Brentwood,California,94513,West
CB-12535_27514,United States,Chapel Hill,North Carolina,27514,South
PG-18895_7960,United States,Morristown,New Jersey,7960,East
CA-12310_45231,United States,Cincinnati,Ohio,45231,East
KH-16690_94110,United States,San Francisco,California,94110,West
HA-14920_94109,United States,San Francisco,California,94109,West
BB-10990_90301,United States,Inglewood,California,90301,West
AG-10495_19140,United States,Philadelphia,Pennsylvania,19140,East
SC-20725_77070,United States,Houston,Texas,77070,Central
JO-15280_90004,United States,Los Angeles,California,90004,West
TB-21520_97206,United States,Portland,Oregon,97206,West
AH-10195_33319,United States,Tamarac,Florida,33319,South
NZ-18565_43229,United States,Columbus,Ohio,43229,East
KL-16555_80906,United States,Colorado Springs,Colorado,80906,West
JD-15895_7109,United States,Belleville,New Jersey,7109,East
JH-15910_60623,United States,Chicago,Illinois,60623,Central
AS-10225_10024,United States,New York City,New York,10024,East
KB-16600_48180,United States,Taylor,Michigan,48180,Central
CR-12625_8701,United States,Lakewood,New Jersey,8701,East
SH-20395_22204,United States,Arlington,Virginia,22204,South
BP-11185_80004,United States,Arvada,Colorado,80004,West
TS-21205_7601,United States,Hackensack,New Jersey,7601,East
AG-10525_33710,United States,Saint Petersburg,Florida,33710,South
SP-20860_19143,United States,Philadelphia,Pennsylvania,19143,East
NM-18445_10024,United States,New York City,New York,10024,East
FA-14230_90805,United States,Long Beach,California,90805,West
GK-14620_92345,United States,Hesperia,California,92345,West
DJ-13510_37130,United States,Murfreesboro,Tennessee,37130,South
PO-18850_19143,United States,Philadelphia,Pennsylvania,19143,East
JL-15850_19134,United States,Philadelphia,Pennsylvania,19134,East
DB-13615_90045,United States,Los Angeles,California,90045,West
AC-10420_94122,United States,San Francisco,California,94122,West
KL-16645_84041,United States,Layton,Utah,84041,West
CS-12130_78745,United States,Austin,Texas,78745,Central
CC-12550_94122,United States,San Francisco,California,94122,West
TD-20995_1852,United States,Lowell,Massachusetts,1852,East
AB-10060_10009,United States,New York City,New York,10009,East
JL-15505_10035,United States,New York City,New York,10035,East
HK-14890_28205,United States,Charlotte,North Carolina,28205,South
