order_id,time_id,customer_id,product_id,geography_id,quantity,sales,profit,delivery_time
CA-2016-152156,1011,CG-12520,FUR-BO-10001798,CG-12520_42420,2,261.96,41.91,3
CA-2016-152156,1011,CG-12520,FUR-CH-10000454,CG-12520_42420,3,731.94,219.58,3
CA-2016-138688,863,DV-13045,OFF-LA-10000240,DV-13045_90036,2,14.62,6.87,4
US-2015-108966,623,SO-20335,FUR-TA-10000577,SO-20335_33311,5,957.58,-383.03,7
US-2015-108966,623,SO-20335,OFF-ST-10000760,SO-20335_33311,2,22.37,2.52,7
CA-2014-115812,151,BH-11710,FUR-FU-10001487,BH-11710_90032,7,48.86,14.17,5
CA-2014-115812,151,BH-11710,OFF-AR-10002833,BH-11710_90032,4,7.28,1.97,5
CA-2014-115812,151,BH-11710,TEC-PH-10002275,BH-11710_90032,6,907.15,90.72,5
CA-2014-115812,151,BH-11710,OFF-BI-10003910,BH-11710_90032,3,18.5,5.78,5
CA-2014-115812,151,BH-11710,OFF-AP-10002892,BH-11710_90032,5,114.9,34.47,5
CA-2014-115812,151,BH-11710,FUR-TA-10001539,BH-11710_90032,9,1706.18,85.31,5
CA-2014-115812,151,BH-11710,TEC-PH-10002033,BH-11710_90032,4,911.42,68.36,5
CA-2017-114412,1169,AA-10480,OFF-PA-10002365,AA-10480_28027,3,15.55,5.44,5
CA-2016-161389,1038,IM-15070,OFF-BI-10003656,IM-15070_98103,3,407.98,132.59,5
US-2015-118983,664,HP-14815,OFF-AP-10002311,HP-14815_76106,5,68.81,-123.86,4
US-2015-118983,664,HP-14815,OFF-BI-10000756,HP-14815_76106,3,2.54,-3.82,4
CA-2014-105893,304,PK-19075,OFF-ST-10004186,PK-19075_53711,6,665.88,13.32,7
CA-2014-167164,124,AG-10270,OFF-ST-10000107,AG-10270_84084,2,55.5,9.99,2
CA-2014-143336,228,ZD-21925,OFF-AR-10003056,ZD-21925_94109,2,8.56,2.48,5
CA-2014-143336,228,ZD-21925,TEC-PH-10001949,ZD-21925_94109,3,213.48,16.01,5
CA-2014-143336,228,ZD-21925,OFF-BI-10002215,ZD-21925_94109,4,22.72,7.38,5
CA-2016-137330,1042,KB-16585,OFF-AR-10000246,KB-16585_68025,7,19.46,5.06,4
CA-2016-137330,1042,KB-16585,OFF-AP-10001492,KB-16585_68025,7,60.34,15.69,4
US-2017-156909,1261,SF-20065,FUR-CH-10002774,SF-20065_19140,2,71.37,-1.02,2
CA-2015-106320,607,EB-13870,FUR-TA-10000577,EB-13870_84057,3,1044.63,240.26,5
CA-2016-121755,718,EH-13945,OFF-BI-10001634,EH-13945_90049,2,11.65,4.22,4
CA-2016-121755,718,EH-13945,TEC-AC-10003027,EH-13945_90049,3,90.57,11.77,4
US-2015-150630,599,TB-21520,FUR-BO-10004834,TB-21520_19140,7,3083.43,-1665.05,4
US-2015-150630,599,TB-21520,OFF-BI-10000474,TB-21520_19140,2,9.62,-7.05,4
US-2015-150630,599,TB-21520,FUR-FU-10004848,TB-21520_19140,3,124.2,15.52,4
US-2015-150630,599,TB-21520,OFF-EN-10001509,TB-21520_19140,2,3.26,1.1,4
US-2015-150630,599,TB-21520,OFF-AR-10004042,TB-21520_19140,6,86.3,9.71,4
US-2015-150630,599,TB-21520,OFF-BI-10001525,TB-21520_19140,6,6.86,-5.72,4
US-2015-150630,599,TB-21520,OFF-AR-10001683,TB-21520_19140,2,15.76,3.55,4
CA-2017-107727,1356,MA-17560,OFF-PA-10000249,MA-17560_77095,3,29.47,9.95,4
CA-2016-117590,1041,GH-14485,TEC-PH-10004977,GH-14485_75080,7,1097.54,123.47,2
CA-2016-117590,1041,GH-14485,FUR-FU-10003664,GH-14485_75080,5,190.92,-147.96,2
CA-2015-117415,699,SN-20710,OFF-EN-10002986,SN-20710_77041,9,113.33,35.42,4
CA-2015-117415,699,SN-20710,FUR-BO-10002545,SN-20710_77041,3,532.4,-46.98,4
CA-2015-117415,699,SN-20710,FUR-CH-10004218,SN-20710_77041,3,212.06,-15.15,4
CA-2015-117415,699,SN-20710,TEC-PH-10000486,SN-20710_77041,4,371.17,41.76,4
CA-2017-120999,1317,LC-16930,TEC-PH-10004093,LC-16930_60540,4,147.17,16.56,5
CA-2016-101343,897,RA-19885,OFF-ST-10003479,RA-19885_90049,2,77.88,3.89,5
CA-2017-139619,1326,ES-14080,OFF-ST-10003282,ES-14080_32935,2,95.62,9.56,4
CA-2016-118255,771,ON-18715,TEC-AC-10000171,ON-18715_55122,2,45.98,19.77,2
CA-2016-118255,771,ON-18715,OFF-BI-10003291,ON-18715_55122,2,17.46,8.21,2
CA-2014-146703,282,PO-18865,OFF-ST-10001713,PO-18865_48185,4,211.96,8.48,5
CA-2016-169194,871,LH-16900,TEC-AC-10002167,LH-16900_19901,3,45.0,4.95,5
CA-2016-169194,871,LH-16900,TEC-PH-10003988,LH-16900_19901,2,21.8,6.1,5
CA-2015-115742,451,DP-13000,OFF-BI-10004410,DP-13000_47150,6,38.22,17.96,4
CA-2015-115742,451,DP-13000,OFF-LA-10002762,DP-13000_47150,6,75.18,35.33,4
CA-2015-115742,451,DP-13000,FUR-FU-10001706,DP-13000_47150,2,6.16,2.96,4
CA-2015-115742,451,DP-13000,FUR-CH-10003061,DP-13000_47150,1,89.99,17.1,4
CA-2016-105816,1044,JM-15265,OFF-FA-10000304,JM-15265_10024,7,15.26,6.26,6
CA-2016-105816,1044,JM-15265,TEC-PH-10002447,JM-15265_10024,5,1029.95,298.69,6
CA-2016-111682,868,TB-21055,OFF-ST-10000604,TB-21055_12180,6,208.56,52.14,1
CA-2016-111682,868,TB-21055,OFF-PA-10001569,TB-21055_12180,5,32.4,15.55,1
CA-2016-111682,868,TB-21055,FUR-CH-10003968,TB-21055_12180,5,319.41,7.1,1
CA-2016-111682,868,TB-21055,OFF-PA-10000587,TB-21055_12180,2,14.56,6.99,1
CA-2016-111682,868,TB-21055,TEC-AC-10002167,TB-21055_12180,2,30.0,3.3,1
CA-2016-111682,868,TB-21055,OFF-BI-10001460,TB-21055_12180,4,48.48,16.36,1
CA-2016-111682,868,TB-21055,OFF-AR-10001868,TB-21055_12180,1,1.68,0.84,1
CA-2015-135545,666,KM-16720,TEC-AC-10004633,KM-16720_90004,2,13.98,6.15,6
CA-2015-135545,666,KM-16720,OFF-BI-10001078,KM-16720_90004,6,25.82,9.36,6
CA-2015-135545,666,KM-16720,OFF-PA-10003892,KM-16720_90004,3,146.73,68.96,6
CA-2015-135545,666,KM-16720,FUR-FU-10000397,KM-16720_90004,4,79.76,22.33,6
US-2015-164175,463,PS-18970,FUR-CH-10001146,PS-18970_60610,5,213.11,-15.22,5
CA-2014-106376,328,BS-11590,OFF-AR-10002671,BS-11590_85234,8,1113.02,111.3,5
CA-2014-106376,328,BS-11590,TEC-PH-10002726,BS-11590_85234,4,167.97,62.99,5
CA-2016-119823,856,KD-16270,OFF-PA-10000482,KD-16270_22153,2,75.88,35.66,2
CA-2016-106075,960,HM-14980,OFF-BI-10004654,HM-14980_10009,1,4.62,1.73,5
CA-2017-114440,1321,TB-21520,OFF-PA-10004675,TB-21520_49201,3,19.05,8.76,3
US-2015-134026,459,JE-15745,FUR-CH-10000513,JE-15745_38109,8,831.94,-114.39,6
US-2015-134026,459,JE-15745,FUR-FU-10003708,JE-15745_38109,2,97.04,1.21,6
US-2015-134026,459,JE-15745,OFF-ST-10004123,JE-15745_38109,1,72.78,-18.2,6
US-2017-118038,1407,KB-16600,OFF-BI-10004182,KB-16600_77041,3,1.25,-1.93,2
US-2017-118038,1407,KB-16600,FUR-FU-10000260,KB-16600_77041,3,9.71,-5.82,2
US-2017-118038,1407,KB-16600,OFF-ST-10000615,KB-16600_77041,3,27.24,2.72,2
US-2014-147606,319,JE-15745,FUR-FU-10003194,JE-15745_77070,5,19.3,-14.48,5
CA-2016-127208,863,SC-20770,OFF-AP-10002118,SC-20770_35601,1,208.16,56.2,3
CA-2016-127208,863,SC-20770,OFF-BI-10002309,SC-20770_35601,3,16.74,8.04,3
CA-2014-139451,274,DN-13690,OFF-AR-10002053,DN-13690_94122,5,14.9,4.17,4
CA-2014-139451,274,DN-13690,OFF-ST-10002370,DN-13690_94122,1,21.39,6.2,4
CA-2015-149734,585,JC-16105,OFF-EN-10000927,JC-16105_27707,7,200.98,62.81,5
US-2017-119662,1381,CS-12400,OFF-ST-10003656,CS-12400_60623,3,230.38,-48.95,3
CA-2017-140088,1212,PO-18865,FUR-CH-10000863,PO-18865_29203,2,301.96,33.22,2
CA-2017-155558,1363,PG-18895,TEC-AC-10001998,PG-18895_55901,1,19.99,6.8,7
CA-2017-155558,1363,PG-18895,OFF-LA-10000134,PG-18895_55901,2,6.16,2.96,7
CA-2016-159695,796,GM-14455,OFF-ST-10003442,GM-14455_77095,7,158.37,13.86,5
CA-2016-109806,959,JS-15685,OFF-AR-10004930,JS-15685_90036,3,20.1,6.63,5
CA-2016-109806,959,JS-15685,TEC-PH-10004093,JS-15685_90036,2,73.58,8.28,5
CA-2016-109806,959,JS-15685,OFF-PA-10000304,JS-15685_90036,1,6.48,3.11,5
CA-2015-149587,379,KB-16315,OFF-PA-10003177,KB-16315_55407,2,12.96,6.22,5
CA-2015-149587,379,KB-16315,FUR-FU-10003799,KB-16315_55407,3,53.34,16.54,5
CA-2015-149587,379,KB-16315,OFF-BI-10002852,KB-16315_55407,2,32.96,16.15,5
US-2017-109484,1374,RB-19705,OFF-BI-10004738,RB-19705_97206,1,5.68,-3.79,6
CA-2017-161018,1377,PN-18775,FUR-FU-10000629,PN-18775_10009,7,96.53,40.54,2
CA-2017-157833,1232,KD-16345,OFF-BI-10001721,KD-16345_94122,3,51.31,17.96,3
CA-2016-149223,948,ER-13855,OFF-AP-10000358,ER-13855_55106,6,77.88,22.59,5
CA-2016-158568,940,RB-19465,OFF-PA-10003256,RB-19465_60610,7,64.62,22.62,4
